theta,b3
0,0
0.1,4.82E-05
0.2,0.000152981
0.3,0.000276418
0.4,0.000399231
0.5,0.000512117
0.6,0.000611185
0.7,0.000695421
0.8,0.000765288
0.9,0.000821955
1,0.000866865
1.1,0.000901512
1.2,0.000927323
1.3,0.000945599
1.4,0.000957501
1.5,0.000964043
1.6,0.000966104
1.7,0.00096444
1.8,0.000959694
1.9,0.000952417
2,0.000943073
2.1,0.000932057
2.2,0.000919701
2.3,0.000906289
2.4,0.000892056
2.5,0.000877201
2.6,0.000861893
2.7,0.000846272
2.8,0.000830455
2.9,0.000814541
3,0.000798611
3.1,0.000782733
3.2,0.000766962
3.5,0.000720715
4,0.000648682
4.5,0.00058409
5,0.000526984
5.5,0.000476797
6,0.000432762
6.5,0.000394097
7,0.000360075
7.5,0.000330053
8,0.000303477
8.5,0.00027987
9,0.000258828
9.5,0.000240008
10,0.00022312
