theta,1,2,3,,,,,
0,0,0,0,,,,,
0.1,0.000268611,0.00026913,0.000269149,,,,,
0.2,0.000440006,0.000440956,0.000441048,,,,,
0.3,0.000548092,0.000549381,0.000549598,,,,,
0.4,0.000614135,0.000615682,0.000616053,,,,,
0.5,0.000651852,0.00065359,0.000654128,,,,,
0.6,0.000670303,0.000672178,0.000672883,,,,,
0.7,0.000675587,0.000677556,0.000678417,,,,,
0.8,0.000671874,0.000673902,0.000674908,,,,,
0.9,0.000662053,0.000664115,0.000665248,,,,,
1,0.000648148,0.000650223,0.000651468,,,,,
1.1,0.000631586,0.000633658,0.000634998,,,,,
1.2,0.000613378,0.000615435,0.000616856,,,,,
1.3,0.000594245,0.000596278,0.000597765,,,,,
1.4,0.000574699,0.0005767,0.000578242,,,,,
1.5,0.000555102,0.000557067,0.000558653,,,,,
1.6,0.00053571,0.000537636,0.000539254,,,,,
1.7,0.0005167,0.000518583,0.000520226,,,,,
1.8,0.000498191,0.00050003,0.000501691,,,,,
1.9,0.000480263,0.000482057,0.000483729,,,,,
2,0.000462963,0.000464712,0.000466389,,,,,
2.1,0.000446318,0.000448021,0.000449698,,,,,
2.2,0.000430337,0.000431996,0.000433669,,,,,
2.3,0.000415019,0.000416633,0.000418299,,,,,
2.4,0.000400355,0.000401925,0.00040358,,,,,
2.5,0.000386327,0.000387855,0.000389497,,,,,
2.6,0.000372918,0.000374404,0.00037603,,,,,
2.7,0.000360105,0.000361549,0.000363159,,,,,
2.8,0.000347863,0.000349269,0.00035086,,,,,
2.9,0.00033617,0.000337537,0.000339108,,,,,
3,0.000325,0.000326329,0.00032788,,,,,
3.1,0.000314329,0.000315622,0.000317151,,,,,
3.2,0.000304132,0.00030539,0.000306898,,,,,
3.3,0.000294387,0.000295611,0.000297096,,,,,
3.4,0.000285071,0.000286262,0.000287724,,,,,
3.5,0.000276162,0.000277322,0.000278761,,,,,
3.6,0.00026764,0.000268769,0.000270185,,,,,
3.7,0.000259485,0.000260584,0.000261977,,,,,
3.8,0.000251678,0.000252748,0.000254118,,,,,
3.9,0.000244201,0.000245244,0.00024659,,,,,
4,0.000237037,0.000238053,0.000239377,,,,,
4.1,0.000230171,0.000231161,0.000232463,,,,,
4.2,0.000223587,0.000224552,0.000225831,,,,,
4.3,0.000217271,0.000218212,0.000219469,,,,,
4.4,0.000211209,0.000212127,0.000213362,,,,,
4.5,0.000205389,0.000206285,0.000207498,,,,,
4.6,0.000199799,0.000200673,0.000201865,,,,,
4.7,0.000194427,0.00019528,0.000196451,,,,,
4.8,0.000189262,0.000190095,0.000191246,,,,,
4.9,0.000184295,0.000185108,0.000186239,,,,,
5,0.000179516,0.00018031,0.000181421,,,,,
5.1,0.000174916,0.000175692,0.000176784,,,,,
5.2,0.000170486,0.000171244,0.000172317,,,,,
5.3,0.000166219,0.00016696,0.000168014,,,,,
5.4,0.000162107,0.000162831,0.000163866,,,,,
5.5,0.000158142,0.00015885,0.000159867,,,,,
5.6,0.000154317,0.00015501,0.00015601,,,,,
5.7,0.000150628,0.000151305,0.000152288,,,,,
5.8,0.000147066,0.000147729,0.000148695,,,,,
5.9,0.000143628,0.000144276,0.000145226,,,,,
6,0.000140306,0.000140941,0.000141874,,,,,
6.1,0.000137097,0.000137718,0.000138636,,,,,
6.2,0.000133994,0.000134603,0.000135505,,,,,
6.3,0.000130994,0.00013159,0.000132477,,,,,
6.4,0.000128093,0.000128676,0.000129549,,,,,
6.5,0.000125285,0.000125857,0.000126715,,,,,
6.6,0.000122568,0.000123128,0.000123972,,,,,
6.7,0.000119936,0.000120486,0.000121315,,,,,
6.8,0.000117388,0.000117926,0.000118742,,,,,
6.9,0.000114919,0.000115447,0.00011625,,,,,
7,0.000112526,0.000113043,0.000113833,,,,,
7.1,0.000110206,0.000110714,0.000111491,,,,,
7.2,0.000107956,0.000108454,0.000109219,,,,,
7.3,0.000105774,0.000106263,0.000107016,,,,,
7.4,0.000103657,0.000104136,0.000104877,,,,,
7.5,0.000101602,0.000102072,0.000102802,,,,,
7.6,9.96E-05,0.000100069,0.000100786,,,,,
7.7,9.77E-05,9.81226E-05,9.88E-05,,,,,
7.8,9.58E-05,9.62324E-05,9.69E-05,,,,,
7.9,9.40E-05,9.43958E-05,9.51E-05,,,,,
8,9.22E-05,9.26108E-05,9.33E-05,,,,,
8.1,9.05E-05,9.08755E-05,9.15E-05,,,,,
8.2,8.88E-05,8.91881E-05,8.98E-05,,,,,
8.3,8.71E-05,8.75469E-05,8.82E-05,,,,,
8.4,8.55E-05,8.59503E-05,8.66E-05,,,,,
8.5,8.40E-05,8.43966E-05,8.50E-05,,,,,
8.6,8.25E-05,8.28843E-05,8.35E-05,,,,,
8.7,8.10E-05,8.1412E-05,8.20E-05,,,,,
8.8,7.96E-05,7.99783E-05,8.06E-05,,,,,
8.9,7.82E-05,7.8582E-05,7.92E-05,,,,,
9,7.69E-05,7.72216E-05,7.78E-05,,,,,
9.1,7.55E-05,7.5896E-05,7.65E-05,,,,,
9.2,7.43E-05,7.4604E-05,7.52E-05,,,,,
9.3,7.30E-05,7.33445E-05,7.39E-05,,,,,
9.4,7.18E-05,7.21165E-05,7.27E-05,,,,,
9.5,7.06E-05,7.09188E-05,7.15E-05,,,,,
9.6,6.94E-05,6.97506E-05,7.03E-05,,,,,
9.7,6.83E-05,6.86109E-05,6.91E-05,,,,,
9.8,6.72E-05,6.74987E-05,6.80E-05,,,,,
9.9,6.61E-05,6.64131E-05,6.69E-05,,,,,
10,6.50E-05,6.54E-05,6.59E-05,,,,,
