sequences ; seg sites ;  histories; gene_tree ; command
2 ;	20 ;	184756 ;	(((((((((((1)))))))))), ((((((((((0))))))))))) ;	ms 2 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
2 ;	19 ;	92378 ;	(((((((((((1)))))))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
2 ;	18 ;	43758 ;	(((((((((((1)))))))))), ((((((((0))))))))) ;	ms 2 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
2 ;	17 ;	24310 ;	(((((((((1)))))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
2 ;	16 ;	8008 ;	(((((((((((0)))))))))), ((((((1))))))) ;	ms 2 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
2 ;	15 ;	5005 ;	(((((((1)))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
2 ;	14 ;	2002 ;	((((((((((0))))))))), (((((1)))))) ;	ms 2 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
2 ;	13 ;	1287 ;	(((((((((0)))))))), (((((1)))))) ;	ms 2 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
2 ;	12 ;	495 ;	(((((1)))), ((((((((0))))))))) ;	ms 2 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
2 ;	11 ;	330 ;	(((((1)))), (((((((0)))))))) ;	ms 2 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
2 ;	10 ;	120 ;	((((1))), (((((((0)))))))) ;	ms 2 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
2 ;	9 ;	84 ;	((((1))), ((((((0))))))) ;	ms 2 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
2 ;	8 ;	70 ;	(((((0)))), ((((1))))) ;	ms 2 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
2 ;	7 ;	35 ;	(((((1)))), (((0)))) ;	ms 2 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
2 ;	6 ;	20 ;	((((1))), (((0)))) ;	ms 2 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
2 ;	5 ;	10 ;	((((1))), ((0))) ;	ms 2 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
2 ;	4 ;	4 ;	((((0))), (1)) ;	ms 2 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
2 ;	3 ;	3 ;	((0), ((1))) ;	ms 2 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
2 ;	2 ;	1 ;	(0, ((1))) ;	ms 2 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
2 ;	1 ;	1 ;	(1, (0)) ;	ms 2 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
2 ;	20 ;	184756 ;	(((((((((((1)))))))))), ((((((((((0))))))))))) ;	ms 2 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
2 ;	19 ;	92378 ;	(((((((((((1)))))))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
2 ;	18 ;	43758 ;	(((((((((((1)))))))))), ((((((((0))))))))) ;	ms 2 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
2 ;	17 ;	24310 ;	(((((((((1)))))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
2 ;	16 ;	8008 ;	(((((((((((0)))))))))), ((((((1))))))) ;	ms 2 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
2 ;	15 ;	5005 ;	(((((((1)))))), (((((((((0)))))))))) ;	ms 2 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
2 ;	14 ;	2002 ;	((((((((((0))))))))), (((((1)))))) ;	ms 2 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
