n,	columns,	b_min,	b_extra,	tsize_small,	size_smaller,	size,	non_0_terms
5	6	8	2	104575	2650	129118	3151
2	1	0	2	23	2	28	4
5	2	1	2	373	61	569	89
2	4	7	2	2909	341	4877	460
5	7	6	2	107722	2539	132210	2962
4	5	6	2	23250	1034	31035	1279
3	5	7	2	22315	1133	30599	1344
4	2	1	2	269	45	414	66
3	1	0	2	45	3	54	6
4	6	8	2	107640	3134	137982	3762
6	5	8	2	180415	3420	219035	3937
6	2	1	2	842	114	1146	150
8	4	3	2	16695	1004	21960	1247
8	5	4	2	84000	1530	100002	1736
6	7	6	2	182723	2618	217429	2987
7	7	6	2	500072	6615	583521	7517
9	5	4	2	75573	3948	99208	4881
9	4	3	2	61966	2449	77837	2885
7	2	1	2	1122	146	1503	189
10	6	5	2	496453	9520	587203	11108
7	9	8	2	2493468	18168	2842794	20035
10	3	2	2	16182	1216	21281	1492
3	5	8	2	22237	1247	31293	1583
4	1	0	2	67	4	80	8
3	2	1	2	165	29	259	43
4	7	7	2	126702	3427	159690	4007
3	7	6	2	21294	852	28584	1024
2	6	6	2	4232	500	7205	671
5	7	7	2	193321	3393	232308	3849
2	2	1	2	67	14	110	21
5	1	0	2	89	5	106	10
2	6	8	2	11411	1199	19065	1580
10	4	3	2	55116	2132	68825	2510
10	4	4	2	17320	754	22600	936
9	3	2	2	6425	611	9039	789
7	1	0	2	133	7	158	14
7	7	7	2	329089	4408	385012	5019
9	5	5	2	157468	3619	190902	4173
8	6	5	2	213369	3675	252716	4226
6	6	7	2	199861	5543	241883	6596
6	1	0	2	111	6	132	12
8	3	2	2	6450	571	8951	732
10	6	7	2	1065520	13162	1216707	14903
10	1	0	2	199	10	236	20
9	8	8	2	6033267	58853	6872482	65888
7	5	4	2	53761	1285	65093	1470
9	7	6	2	1498398	14379	1715118	16050
9	2	1	2	789	125	1189	181
7	4	3	2	9704	799	13594	1026
6	4	3	2	10100	709	13711	901
8	2	1	2	1402	178	1860	228
8	6	6	2	148016	2514	173667	2877
6	5	4	2	32356	1760	42718	2180
8	6	8	2	178836	3629	211608	4228
4	5	4	2	11204	744	15376	944
3	4	5	2	5843	445	8476	564
4	4	3	2	4179	313	5790	403
3	3	2	2	536	65	806	84
2	3	2	2	183	33	323	47
5	4	3	2	7646	402	9997	492
2	5	5	2	2016	253	3447	346
5	4	4	2	11019	693	14775	865
8	8	7	2	1413227	13196	1607437	14676
6	6	5	2	114309	3011	140828	3485
6	3	2	2	3281	326	4662	423
8	1	0	2	155	8	184	16
9	1	0	2	177	9	210	18
7	3	2	2	3888	347	5266	435
10	8	8	2	5573925	32798	6223791	36217
7	5	5	2	62833	3569	83653	4438
9	6	7	2	305722	5105	358796	5913
10	2	1	2	1930	250	2590	330
10	7	6	2	2299608	18726	2624588	20829
2	4	4	2	924	123	1578	170
5	5	5	2	40936	1253	50979	1458
2	2	3	2	278	38	453	53
5	3	2	2	1927	190	2730	246
4	3	2	2	859	94	1257	120
3	4	3	2	1385	133	2056	170
4	6	5	2	21652	921	28729	1126
3	4	4	2	3577	263	5136	327
